Iteration,Best_Cost
1,49.130203427568475
2,1.7600984130872326
3,1.3999852609976013
4,1.3999852609976013
5,1.3999852609976013
6,1.3999852609976013
7,1.3999852609976013
8,1.3999852609976013
9,1.3999852609976013
10,1.3718229116482323
11,1.3718229116482323
12,1.3718229116482323
13,1.3718229116482323
14,1.3718229116482323
15,1.3718229116482323
16,1.3718229116482323
17,1.3718229116482323
18,1.172214632174286
19,1.172214632174286
20,1.172214632174286
21,1.172214632174286
22,1.172214632174286
23,1.172214632174286
24,1.172214632174286
25,1.172214632174286
26,1.172214632174286
27,1.172214632174286
28,1.172214632174286
29,1.172214632174286
30,1.172214632174286
31,1.172214632174286
32,1.172214632174286
33,1.172214632174286
34,1.172214632174286
35,1.172214632174286
36,1.172214632174286
37,1.172214632174286
38,1.172214632174286
39,1.172214632174286
40,1.172214632174286
41,1.172214632174286
42,1.172214632174286
43,1.172214632174286
44,1.172214632174286
45,1.172214632174286
46,1.172214632174286
47,1.172214632174286
48,1.172214632174286
49,1.172214632174286
50,1.172214632174286
51,1.172214632174286
52,1.172214632174286
53,1.172214632174286
54,1.172214632174286
55,1.172214632174286
56,1.172214632174286
57,1.172214632174286
58,1.172214632174286
59,1.172214632174286
60,1.172214632174286
61,1.172214632174286
62,1.172214632174286
63,1.172214632174286
64,1.172214632174286
65,1.172214632174286
66,1.172214632174286
67,1.172214632174286
68,1.172214632174286
69,1.172214632174286
70,1.172214632174286
71,1.172214632174286
72,1.172214632174286
73,1.172214632174286
74,1.172214632174286
75,1.172214632174286
76,1.172214632174286
77,1.172214632174286
78,1.172214632174286
79,1.172214632174286
80,1.172214632174286
81,1.172214632174286
82,1.172214632174286
83,1.172214632174286
84,1.172214632174286
85,1.172214632174286
86,1.172214632174286
87,1.172214632174286
88,1.172214632174286
89,1.172214632174286
90,1.172214632174286
91,1.172214632174286
92,1.172214632174286
93,1.172214632174286
94,1.172214632174286
95,1.172214632174286
96,1.172214632174286
97,1.172214632174286
98,1.172214632174286
99,1.172214632174286
100,1.172214632174286
